MA_diff1,MA_diff2,MACD,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
16.16666667,10.83333333,-23.74253034,-16.5,2.890465213,13.60953479,-0.636118861,0.384158475,1,0,-1
-46.33333333,14.83333333,183.6440708,-30,3.986843433,26.01315657,-0.535026763,0.776005658,-1,0,-1
-2,-15,-20.72114518,-15.5,4.869880799,10.6301192,-1.095443779,0.170547776,1,0,-1
43.33333333,-26.33333333,41.68064961,-33.25,2.882947956,30.36705204,-1.008858756,0.583448524,0,1,-1
67.33333333,-30.33333333,-72.9392111,-17.75,2.592209528,15.15779047,-1.29905664,0.310568124,1,1,-1
-1.666666667,-22.33333333,51.80821275,-21.5,3.175005307,18.32499469,-0.706220088,0.621149369,-1,0,-1
-5.666666667,4.666666667,-8.664638976,10.75,5.497675146,-16.24767515,0.791161444,0.479202561,0,-1,-1
65.83333333,-50.83333333,2.82885714,-7.5,1.829452324,5.670547676,-1.130780961,0.470527588,0,1,-1
39.83333333,-19.83333333,-0.88751496,-17,1.378628311,15.62137169,0.227947903,0.488274186,0,1,-1
15.5,-8.5,-9.367710864,-12.75,5.327745991,7.422254009,-1.829037493,0.301697496,1,0,-1
-208,137.5,21.40763073,3,2.2711448,-5.2711448,-0.420323418,0.646461861,-1,-1,-1
-0.333333333,-6.166666667,26.23934773,25,6.05756412,-31.05756412,0.752008264,0.634674461,-1,0,-1
73.16666667,-61.16666667,-49.19265006,-3.5,3.087713218,0.412286782,0.656401359,0.348637342,1,1,-1
-17.16666667,13.16666667,-46.01888258,3.25,4.03554069,-7.28554069,-0.827911374,0.44546861,0,0,-1
-89.16666667,72.66666667,48.46489739,-2.25,4.226218761,-1.976218761,1.619206662,0.630334262,-1,-1,-1
33.5,-18,-54.55884617,-24.5,4.276556675,20.22344333,-0.479515918,0.315692317,1,0,-1
12.83333333,-3.833333333,-5.35298988,-7,2.420025527,4.579974473,-1.578590509,0.420735374,0,0,-1
38.66666667,-14.66666667,28.89889869,-9,3.081016536,5.918983464,0.29204564,0.702700409,-1,1,-1
9,18,1.476486955,7.5,3.0456587,-10.5456587,0.119712702,0.522791832,0,0,-1
-7.666666667,12.66666667,-6.034047587,-12.25,2.993986867,9.256013133,-0.12933033,0.291094605,1,0,-1
0.166666667,1.333333333,7.593162566,-5.25,4.199285149,1.050714851,-1.702174286,0.500671888,0,0,-1
8,-2.5,15.74913214,-7,7.239481236,-0.239481236,0.326277373,0.579968226,0,1,-1
23.33333333,0.166666667,30.14811203,0.75,3.875322688,-4.625322688,0.187037866,0.621013469,-1,1,-1
6,-14,9.118770093,-10,1.261693624,8.738306376,-0.384162855,0.376101011,1,0,-1
27.33333333,-14.83333333,-19.88773756,-8.75,3.01536842,5.73463158,1.394032954,0.303224288,1,0,-1
31.33333333,-20.83333333,4.289876139,-14.75,2.352276193,12.39772381,-0.633291044,0.495378009,0,1,-1
60.66666667,-8.166666667,-37.72174659,-18,4.238400298,13.7615997,-0.296715543,0.310155913,1,1,-1
10.5,-3.5,-8.257204972,-15,3.793166181,11.20683382,-1.656139802,0.3533925,1,0,-1
62.83333333,-38.33333333,6.158406002,-0.75,1.164915231,-0.414915231,0.435286394,0.478175603,0,1,-1
-25.66666667,57.66666667,86.57087593,-5.5,-2.22739912,7.72739912,-0.826315459,0.576604405,0,-1,-1
5,9,1.018425811,-14.5,1.212706249,13.28729375,-0.242425321,0.49815258,0,0,-1
10.5,-21.5,-16.10016462,-12.75,5.681840293,7.068159707,-0.64637011,0.134264651,1,0,-1
58.33333333,-34.83333333,28.41321864,-18,3.316538027,14.68346197,-0.264773138,0.58510067,0,1,-1
7,20,25.89827986,-17.5,4.311650077,13.18834992,-0.435333618,0.52487774,0,0,-1
48,-24,25.44977706,-5,3.208366909,1.791633091,-0.329366021,0.62786341,-1,0,-1
-6.666666667,1.666666667,7.987018833,-9.25,5.225066582,4.024933418,-0.418725355,0.447526672,0,0,-1
-58.66666667,12.16666667,-10.65270556,-6.5,3.35248329,3.14751671,-0.44064609,0.425945946,0,-1,-1
34.33333333,-16.33333333,4.281890925,-4,0.84876223,3.15123777,-2.395774201,0.549878843,0,1,-1
-140.5,66.5,1.592757851,-7.75,3.990109258,3.759890742,0.113348247,0.522570634,0,-1,-1
55.16666667,-12.66666667,47.30888806,-35.75,3.915973789,31.83402621,-0.402629743,0.535625078,0,1,-1
46.83333333,-22.33333333,-9.433826832,-10.25,7.150112924,3.099887076,-1.749209247,0.327585899,1,1,-1
-21.33333333,11.33333333,20.21158875,-20.25,6.948265468,13.30173453,-0.747545026,0.500797013,0,0,-1
1.666666667,4.333333333,9.904092358,-6.5,5.249149319,1.250850681,-1.139619982,0.508938322,0,0,-1
